id,name,handle,location,contact_phone,contact_email,wallet,amount_inr,date,source_channel,snippet
1,Neha Bhatia,@neha_bhatia_76,"Ludhiana, Punjab",+918229310908,neha.bhatia489@secure-mail.org,0xf1baf6dcd99a3f3f7e95474176e38c80f78db589,75000,2025-10-01T19:24:33,Encrypted Comm Desk,"Consignment transit record #1. Operative Contact: Neha Bhatia (@neha_bhatia_76), Phone: +918229310908, Email: neha.bhatia489@secure-mail.org, Location Corridor: Ludhiana, Punjab. Escrow settlement wallet: 0xf1baf6dcd99a3f3f7e95474176e38c80f78db589. Valuation: INR 75,000."
2,Manish Singh,@manish_singh_61,"Indore, Madhya Pradesh",+918516345763,manish.singh825@secure-mail.org,0xff23fcc5637470ac7bbd08bb77e30e98a55b5ee2,500000,2025-03-04T13:21:32,Northern Route Dispatch,"Consignment transit record #2. Operative Contact: Manish Singh (@manish_singh_61), Phone: +918516345763, Email: manish.singh825@secure-mail.org, Location Corridor: Indore, Madhya Pradesh. Escrow settlement wallet: 0xff23fcc5637470ac7bbd08bb77e30e98a55b5ee2. Valuation: INR 500,000."
3,Aditya Kapoor,@aditya_kapoor_48,"Bareilly, Uttar Pradesh",+916344991210,aditya.kapoor7@secure-mail.org,0x914d18b0be2e24c7f5694481f099144cc9214e36,25000,2025-02-10T22:55:17,Metro Corridor Relay,"Consignment transit record #3. Operative Contact: Aditya Kapoor (@aditya_kapoor_48), Phone: +916344991210, Email: aditya.kapoor7@secure-mail.org, Location Corridor: Bareilly, Uttar Pradesh. Escrow settlement wallet: 0x914d18b0be2e24c7f5694481f099144cc9214e36. Valuation: INR 25,000."
4,Kabir Yadav,@kabir_yadav_21,"Meerut, Uttar Pradesh",+917594707449,kabir.yadav525@secure-mail.org,0x99d7d03da2721ceca2f38d06ecf292a3f2533550,50000,2025-01-09T02:16:54,Public Transit Logistics,"Consignment transit record #4. Operative Contact: Kabir Yadav (@kabir_yadav_21), Phone: +917594707449, Email: kabir.yadav525@secure-mail.org, Location Corridor: Meerut, Uttar Pradesh. Escrow settlement wallet: 0x99d7d03da2721ceca2f38d06ecf292a3f2533550. Valuation: INR 50,000."
5,Meera Nair,@meera_nair_28,"Madurai, Tamil Nadu",+916137470932,meera.nair797@secure-mail.org,0xf558bbb20052ce0bfc64de54717f8d7b4b154235,75000,2025-01-03T03:10:35,Supply Chain Monitor,"Consignment transit record #5. Operative Contact: Meera Nair (@meera_nair_28), Phone: +916137470932, Email: meera.nair797@secure-mail.org, Location Corridor: Madurai, Tamil Nadu. Escrow settlement wallet: 0xf558bbb20052ce0bfc64de54717f8d7b4b154235. Valuation: INR 75,000."
6,Farhan Rao,@farhan_rao_19,"Vijayawada, Andhra Pradesh",+919044680752,farhan.rao886@secure-mail.org,0xbc3329a9d8aa5693bd3a73d5f53641196ace5ff5,850000,2025-09-20T01:46:51,Freight & Escrow Hub,"Consignment transit record #6. Operative Contact: Farhan Rao (@farhan_rao_19), Phone: +919044680752, Email: farhan.rao886@secure-mail.org, Location Corridor: Vijayawada, Andhra Pradesh. Escrow settlement wallet: 0xbc3329a9d8aa5693bd3a73d5f53641196ace5ff5. Valuation: INR 850,000."
7,Pooja Singh,@pooja_singh_55,"Bengaluru, Karnataka",+917620518830,pooja.singh294@secure-mail.org,0x503c55e76d7074b9104df1a1cb8b9b476dadd944,50000,2025-04-18T14:36:13,Global Trade Intercepts,"Consignment transit record #7. Operative Contact: Pooja Singh (@pooja_singh_55), Phone: +917620518830, Email: pooja.singh294@secure-mail.org, Location Corridor: Bengaluru, Karnataka. Escrow settlement wallet: 0x503c55e76d7074b9104df1a1cb8b9b476dadd944. Valuation: INR 50,000."
8,Vikram Yadav,@vikram_yadav_37,"Nagpur, Maharashtra",+919708665593,vikram.yadav242@secure-mail.org,0x90119e0dfbbffbb26d0b80a0abbf36a790a821c4,500000,2025-06-12T09:44:37,Northern Route Dispatch,"Consignment transit record #8. Operative Contact: Vikram Yadav (@vikram_yadav_37), Phone: +919708665593, Email: vikram.yadav242@secure-mail.org, Location Corridor: Nagpur, Maharashtra. Escrow settlement wallet: 0x90119e0dfbbffbb26d0b80a0abbf36a790a821c4. Valuation: INR 500,000."
9,Riya Khan,@riya_khan_86,"Surat, Gujarat",+916832061448,riya.khan270@secure-mail.org,0x9be11cf78ad39f1660466f64bf9b7a7968e1e41f,75000,2025-02-17T01:21:32,Supply Chain Monitor,"Consignment transit record #9. Operative Contact: Riya Khan (@riya_khan_86), Phone: +916832061448, Email: riya.khan270@secure-mail.org, Location Corridor: Surat, Gujarat. Escrow settlement wallet: 0x9be11cf78ad39f1660466f64bf9b7a7968e1e41f. Valuation: INR 75,000."
10,Rohan Kapoor,@rohan_kapoor_24,"Rajkot, Gujarat",+919506162203,rohan.kapoor971@secure-mail.org,0xa2b32f474439e6afc09ec663763965c3712fd172,120000,2025-03-28T10:38:08,Crypto Exchange Node,"Consignment transit record #10. Operative Contact: Rohan Kapoor (@rohan_kapoor_24), Phone: +919506162203, Email: rohan.kapoor971@secure-mail.org, Location Corridor: Rajkot, Gujarat. Escrow settlement wallet: 0xa2b32f474439e6afc09ec663763965c3712fd172. Valuation: INR 120,000."
